Colleges_and_Universities
NAME,CITY,STATE,ZIP,COUNTY,ALIAS
Tulsa Welding School,Jacksonville,FL,32216,Duval,TWS; TWS Jacksonville; Tulsa Welding School/Jacksonville Campus
Herzing University,Madison,WI,53719,Dane,NOT AVAILABLE
Regency Beauty Institute-Hoover,Hoover,AL,35244,Jefferson,NOT AVAILABLE
Regency Beauty Institute-San Antonio,San Antonio,TX,78216,Bexar,NOT AVAILABLE
Regency Beauty Institute-Tampa,Tampa,FL,33609,Hillsborough,NOT AVAILABLE
Regency Beauty Institute-Clearwater,Clearwater,FL,33763,Pinellas,NOT AVAILABLE
Regency Beauty Institute-Newport News,Newport News,VA,23609,Newport News,NOT AVAILABLE
Regency Beauty Institute-Lewisville,Lewisville,TX,75067,Denton,NOT AVAILABLE
Regency Beauty Institute-Dallas,Dallas,TX,75244,Dallas,NOT AVAILABLE
Regency Beauty Institute-Plano,Plano,TX,75075,Collin,NOT AVAILABLE
Empire Beauty School-Virginia Beach,Virginia Beach,VA,23462,Virginia Beach,NOT AVAILABLE
Concorde Career Institute-San Antonio,San Antonio,TX,78229,Bexar,NOT AVAILABLE
Sanford-Brown College-Columbus,Columbus,OH,43231,Franklin,NOT AVAILABLE
Ross Medical Education Center,Morgantown,WV,26505,Monongalia,NOT AVAILABLE
Ecotech Institute,Aurora,CO,80012,Arapahoe,NOT AVAILABLE
Paul Mitchell the School-Ogden,Ogden,UT,84401,Weber,NOT AVAILABLE
ATI Career Training Center-Lewisville,Lewisville,TX,75067,Denton,NOT AVAILABLE
CollegeAmerica Denver,Colorado Springs,CO,80906,El Paso,NOT AVAILABLE
Everest Institute-Bensalem,Bensalem,PA,19020,Bucks,NOT AVAILABLE
Johnson & Wales University-Online,Providence,RI,2903,Providence,NOT AVAILABLE
Golf Academy of America-Farmers Branch,Farmers Branch,TX,75234,Dallas,NOT AVAILABLE
Everest College-Fort Worth South,Ft Worth,TX,76115,Tarrant,NOT AVAILABLE
Utah College of Massage Therapy,Richardson,TX,75801,Dallas,NOT AVAILABLE
Everest College-Santa Ana,Santa Ana,CA,92701,Orange,NOT AVAILABLE
Miami Ad School-New York,Brooklyn,NY,11201,Kings,NOT AVAILABLE
Lacy Cosmetology School,Charleston,SC,29407,Charleston,Lacy Cosmetology School - West Ashley
Dade Medical College,West Palm Beach,FL,33415,Palm Beach,NOT AVAILABLE
Dade Medical College,Jacksonville,FL,32225,Duval,NOT AVAILABLE
WestMed College,San Jose,CA,95128,Santa Clara,NOT AVAILABLE
Larry's Barber College,Chicago,IL,60628,Cook,NOT AVAILABLE
Lewistown Hospital School of Nursing,Lewistown,PA,17044,Mifflin,NOT AVAILABLE
Futura Career Institute,Hialeah,FL,33012,Miami-Dade,NOT AVAILABLE
Access Careers,Brooklyn,NY,11201,Kings,NOT AVAILABLE
The Hair Design School-Charlotte,Charlotte,NC,28213,Mecklenburg,NOT AVAILABLE
Moreno Valley College,Moreno Valley,CA,92551,Riverside,NOT AVAILABLE
Flair Beauty College,Canyon Country,CA,91351,Los Angeles,NOT AVAILABLE
The Hair Design School-Durham,Durham,NC,27704,Durham,NOT AVAILABLE
Hair Design Institute at Fifth Avenue-New York,New York,NY,10018,New York,NOT AVAILABLE
The Hair Design School-E Greensboro,Greensboro,NC,27405,Guilford,NOT AVAILABLE
Onondaga School of Therapeutic Massage-Rochester,Rochester,NY,14607,Monroe,NOT AVAILABLE
The Hair Design School-Winston-Salem,Winston-Salem,NC,27106,Forsyth,NOT AVAILABLE
Norco College,Norco,CA,92860,Riverside,NOT AVAILABLE
Empire Beauty School-West Palm,West Palm Beach,FL,33409,Palm Beach,NOT AVAILABLE
Daymar College-Louisville,Louisville,KY,40245,Jefferson,NOT AVAILABLE
